Category,dbID,siteID,SiteName,SubTitle,Lat,Lon,Desc,Sview,Sviewlat,Sviewlong,Heading,Zoom,Pitch,top,mapzoom,sponsor,Categ,image
Historic,128,c128,Halls Lake Log Chute,,45.149389,-78.728377,"Here in the Haliburton Highlands is an amazingly preserved piece of Ontario's logging history, a narrow wooden trough funneling fast-flowing water designed to carry logs down the Gull River during the[ Spring ]breakup and thaw. Built in 1861 [Spring] runoff ponded up behind the dam was released to create a flood capable of carrying heavy logs downriver from sprawling pine forests. A chute was in operation here between 1861 and the 1930's when the supply of logs began to dwindle. The present chute was made in 1999 of sawn hemlock and is the best preserved anywhere in the [Province].  An interpretive display outlines the area's rich legacy of logging; also visit the Heritage Discovery Museum in nearby Stanhope. At one time there were hundreds of log chutes across Ontario but nearly all exist in name only (e.g., [C54]).  ",n,,,,,,n,14,a,5,http://planetrocks.ca/wp-content/uploads/C128.png
Historic,129,c129,The Great Depression,Beginning of the Cottage Boom,44.490367,-78.236135,"In 1933 there were several camps set up in the Bancroft area to provide relief work for the unemployed. These men were paid about a $1 a day to work on improving the original colonization roads (Hastings Road, Monck Road, Paudash and Burleigh Roads) which had been cut in the 19th century to ease the movement of settlers onto the southern margins of the Canadian Shield. The original purpose had been unsuccessful because there was limited farmland on the Shield (Sites [C21], [C48]) but the upgrades made to the roads in the 1930s and the widening ownership of cars attracted the first cottagers to the Highlands. The recreation boom had begun and a new type of seasonal settler had arrived.",y,44.487631,-78.238753,252.58,0,-0.89,n,14,a,5,http://planetrocks.ca/wp-content/uploads/C129.png
Earth History,130,e1,"Barron Canyon, Algonquin Park", Ancient outlet for the Great Lakes,45.88483333,-77.63433333,"Algonquin Park has more than 1,500 kilometres of canoe routes but the best stretch of water is in Barron Canyon on the southeast corner of the park. Some 10,000 years ago, enormous volumes of water from the thawing Laurentide [Ice sheet] thundered down the Ottawa Valley. The 100 metres deep Barron Canyon is one of the most spectacular (and most accessible) spots in Algonquin Park and was cut by meltwater escaping to the Champlain Sea (Site [E39]). These cold, sediment-laden waters created the barren rock-strewn appearance of much of the park. Stands of sub-Arctic and Arctic plants still survive from that time.",n,,,,,,y,15,a,6,http://planetrocks.ca/wp-content/uploads/E1.png
Rocks and Minerals,131,e2,Limerick Dam Marble,,45.58616667,-76.67016667,"Bands of white [Marble] are conspicuous  and easily recognizable across the Canadian [Shield] in central and eastern Ontario, often associated names like Whiterock, Whitestone, etc (Site [E4]). The quality of the [Marble] is usually poor although locally it has made very good building material. [Marble] is produced by the alteration of [Limestone] under great heat and [Pressure]. This occurred a billion years ago during the Grenville [Orogeny]. Limerick Dam has a superb [Outcrop] pockilometresarked by potholes cut by the same meltwaters that eroded Barron Canyon at the end of the last [Ice age] (Site [E1]) Note, there are excellent example of potholes at this site.",y,,,104.03,0,8.73,y,14,a,4,http://planetrocks.ca/wp-content/uploads/E2.png
Rocks and Minerals,132,e3,Bonnechere Caves , Rivers Underground,45.50466667,-77.009,"The Bonnechere Caves, near Renfrew, are beautiful, dark caverns formed by the slow action of water dissolving [Limestone]. These caves are an excellent example of[ Karst ]caves which are caused by the slightly acidic rain water chemically [Weathering] [Limestone] and [Dolostone] formations. This causes the widening of [Joints] in the [Limestone] and [Dolostone], subsequently creating conduit like caves.",n,,,,,,n,14,a,4,http://planetrocks.ca/wp-content/uploads/E3.png
Rocks and Minerals,133,e4,Trans-Canada Highway Marble,,45.494481,-76.668981,Striking white [Outcrops] of massive [Marble] occur at the intersection of Highway 17 (Trans-Canada Highway) and Highway 20 (Castleford Road) just north of Renfrew along the Ottawa Valley. ,y,,,230.56,0,0.71,n,16,a,4,http://planetrocks.ca/wp-content/uploads/E4.png
Rocks and Minerals,134,e5,Graphite,(Or why J.W. Dawson was half right after all...),45.22166667,-76.9105,"Southern Ontario was the largest producer of graphite in the world in the years leading up to the First World War. Graphite is a very common[ Mineral ]among rocks of the Grenville [Province] and thick [Veins] were mined at Black Donald along the Madawaska River near Calabogie. Graphite is used in pencils but is also a lubricant. When graphite fibres are twisted and cemented into epoxy they form strong carbon fibres. Today the mine lies flooded under a reservoir, it's important heritage hidden from view.",n,,,,,,n,13,a,4,http://planetrocks.ca/wp-content/uploads/E5.png
Rocks and Minerals,135,e6,Gull River Formation,Burleigh Falls Unconformity,0,0,"You can find one of these rarely exposed unconformities on Highway 36, 3.7 kilometres west of Burleigh Falls. Here, [Paleozoic] [Sedimentary rocks] ([Shales] and pebbly [Conglomerates]) of the Shadow Lake[Formations]ome 500 million year-old, rest unconformable on steeply-dipping 1.1 billion years old Grenville [Gneisses] and [Diorites]. Right at the top of this fine [Outcrop] are white coloured [Limestone] that belong to the Gull River[Formations]ome 460 million years old.  ",n,,,,,,n,16,,4,http://planetrocks.ca/wp-content/uploads/E6.png
Earth History,136,e7,Mazinaw Rock and Bon Echo Provincial Park,Plutons and Faults,44.90033333,-77.20216667,"You can find one of these rarely exposed unconformities on Highway 36, 3.7 kilometres west of Burleigh Falls. Here, [Paleozoic] [Sedimentary rocks] ([Shales] and pebbly [Conglomerates]) of the Shadow Lake[Formations]ome 500 million year-old, rest unconformable on steeply-dipping 1.1 billion year old Grenville [Gneisses] and [Diorites]. Right at the top of this fine [Outcrop] are white coloured [Limestone] that belong to the Gull River[Formations]ome 460 million years old.  ",n,,,,,,n,13,a,6,http://planetrocks.ca/wp-content/uploads/E7.png
Earth History,137,e8,Pillow Lava , Ancient Ocean Crust,44.799606,-77.179513,"[Basalt]ic [Lava] that erupts underwater at mid-oceanic ridges, in hot spots such as Hawaii, or along rifts, produces pillow [Lava].  Excellent examples of ancient pillows occur 2 kilometres south of Cloyne at the intersection of Highway 41 and Frontenac County Road 506. These are part of the Tudor[ Formation ]and were formed 1,280 million years ago during the Grenville [Orogeny].",y,,,79.76,0,4.85,n,15,a,6,http://planetrocks.ca/wp-content/uploads/E8.png
Earth History,138,e9,Metamorphosed Cobbles at Kaladar ,Stretched to the Limit,44.67316667,-77.143,"Kaladar is part of the Central [Metasediment]ary Belt and is one of the best places in Southern Ontario to see examples of how rocks are squeezed and altered under great heat and [Pressure], a process called '[Metamorphism].' This occurred during the Grenville [Orogeny] a billion years ago, when North America collided with South America and [Sedimentary rocks] were compressed, buried and metamorphosed. The rocks at Kaladar are [Conglomerates] where individual rounded cobbles were heated and stretched out like toffee. Another [Outcrop] can be found on the east side of Highway 41 immediately north of North Brook.",y,,,296.48,0,0.55,n,14,a,6,http://planetrocks.ca/wp-content/uploads/E9.png
Earth History,139,e10,Highway 7 Unconformity,,44.50183333,-77.52716667,"An [Unconformity] is simply a missing chapter (or gap) in the rock record where time went unrecorded by any rocks. An [Unconformity] between billion year old rocks at the base and 500 million years old rocks above occurs on the north side of Highway 7 east of Marmora. Large cobbles occur along the [Unconformity] recording the [Erosion] of the older rocks prior to flooding by a warm shallow sea during the [Ordovician] (See Also [C56], [C57], [E13], [E14], [E41], [E43]).",y,,,326.59,0,-1.97,n,16,a,6,http://planetrocks.ca/wp-content/uploads/E10.png
Earth History,140,e11,Hell Hole Caves,,44.38986667,-76.99551667,"Like many other caves in Ontario, the Hell Holes in Centreville are ""[Fissure]"" caves formed where the edge of a [Limestone] [Outcrop] tilts downward and opens up deep cracks. The [Fissures] slowly widen into caves as acidic water dissolves the surrounding [Limestone], a process called ""chemical [Dissolution]"" that also affects the openings at Warsaw Caves and along the edges of the Niagara [Escarpment].",n,,,,,,y,14,,6,http://planetrocks.ca/wp-content/uploads/E11.png
Earth History,141,e12,Holleford Meteorite Crater,,44.45571667,-76.62771667,The Holleford Crater 25 kilometres north of Kingston was discovered in 1955 and was determined to have been caused by a [Meteorite] 100 metres in diametre and traveling 50 000 kilometres an hour. The overall shape of the Holleford Crater can easily be seen from the road that passes along its southern margin. The 30 metre deep saucer has been made shallower due to the compaction of [Limestone].,y,,,308.63,0,-6.69,y,13,,6,http://planetrocks.ca/wp-content/uploads/E12.png
Earth History,142,e13,Inverary Unconformity,,44.38316667,-76.46101667,"At Sunbury and at Highway 7 east of Marmora (Site [E10]), you can find the same [Unconformity] surface exposed to view. At Sunbury, look for the thin dark vertical bands of rock cutting through the [Gneiss] but not the [Unconformity]. These are igneous dikes that are actually younger than the [Gneisses] but predate cutting of the [Unconformity].",y,,,181.55,0,11.64,n,16,,6,http://planetrocks.ca/wp-content/uploads/E13.png
Earth History,143,e14,Abbey Dawn Unconformity,,44.265943,-76.383833,"Southern Ontario has several magnificent examples of unconformities (gaps) between the billion years old hard [Shield] rocks of the Grenville [Province] and much younger (500 million years) [Paleozoic] [Sedimentary rocks] (e.g., [E13]). Think of a book with a missing chapter. The [Unconformity] one at Abbey Dawn is marked by large rounded boulders which probably formed on a beach surrounding islands of [Shield] rocks standing high above a [Paleozoic] sea (See [C22]). Islands were later buried below thick [Limestones] (Site [E41]).",y,,,10.45,0,-4.56,n,16,,6,http://planetrocks.ca/wp-content/uploads/E14.png
Earth History,144,e15,Geologic Columns , Tracking Weird Structures in the Potsdam Sandstone,44.347,-76.39283333,"One of the oldest [Paleozoic] [Sedimentary rocks] in eastern Ontario is the Potsdam [Sandstone] which has structures that have puzzled geologists for over a century. The [Sandstone] shows vertical cylindrical columns, that were quarried and used for store fronts in Kingston, possibly caused by expulsion of water during an earthquake along with the sediment. Elsewhere it shows tracks made by the first organisms to ever venture on land.",n,,,,,,n,16,,6,http://planetrocks.ca/wp-content/uploads/E15.png
Rocks and Minerals,145,e16,Marble Rock,,44.379683,-76.173825,[Marble] Rock is easily accessible some 4 kilometres north of Highway 401 (Exit 659) near Gananoque. It is an excellent [Outcrop] of coarse-grained [Marble] about a billion years old.,y,,,344.81,0,4.88,n,16,,4,http://planetrocks.ca/wp-content/uploads/E16.png
Nature,146,e17,Thousand Islands ,Lake Ontario ends and the St. Lawrence River begins,44.832759,-75.311969,"East of Kingston near Gananoque, the St. Lawrence River flows across a major geological structure called the Frontenac Arch creating a myriad of islands, some large, most small and collectively known as the Thousand Islands. (The area was named Lac des Milles-Iles by the French in 1615.) There are in fact some 1,500 islands in the region. Also explore Fort Henry in Kingston which was constructed between 1812 and 1837 to protect the Rideau Canal. ",n,,,,,,y,16,,8,http://planetrocks.ca/wp-content/uploads/E17.png
Nature,147,e18,Charleston Lake Provincial Park , A Piece of New York's Adirondack Mountains,44.49638333,-76.04111667,"Charleston Lake Provincial Park sits atop the Frontenac Arch, a bulge in the underlying basement that brings old rocks to surface. To the north (toward Ottawa) and to the south (toward Kingston), younger [Sedimentary rocks] lap up onto the arch but do not completely cover it. The area lies within a subdivision of the Central Meta-sedimentary Belt (also called the Frontenac Terrane), which is an extension of the Adirondack Mountains of upper New York State.  Along the [Sandstone] Island Trail there lays a 6 metre boulder [Conglomerate] layer marking the [Unconformity] between [Precambrian] and [Paleozoic] rocks.",n,,,,,,n,16,,8,http://planetrocks.ca/wp-content/uploads/E18.png
Historic,148,e19,Battle of the Windmill, Banished to Australia,44.72083333,-75.487,The fine windmill atop a cliff some 2 kilometres downstream (East) of Prescott is made of large [Limestone] blocks providing a commanding view of the St. Lawrence River below. It was the scene of a famous skirmish in November 1838 between members of a secret society (the Hunters Lodge) and elements of the British Army supported by local militias.,n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/E19.png
Earth History,149,e20,Creeping Clays at Galop Canal,,44.78893,-75.381526,"The Galop Canal was built between 1844 to 1846 to avoid bypass rapids along the St.Lawrence near the present-day community of Cardinal on Highway 2, about 3 kilometres south of Highway 401. The canal was dug into soft clays left by the Champlain Sea that flooded the St. Lawrence valley at the end of the last glaciation some 11,000 years ago (Site [E39]). Since then the sidewalls of the now disused canal have slid down slope serving as a graphic example of the kind of slope failure typical in these problematic[ Clay ]deposits.",y,,,36.8,0,1.34,n,16,,6,http://planetrocks.ca/wp-content/uploads/E20.png
Earth History,150,e21,Champlain's Lookout Over the Ottawa Graben,,45.50866667,-75.91083333,The Ottawa [Graben] is a huge piece of down down-dropped[ Crust ]that is part of what is called a failed rift.  The Earth's[ Crust ]broke when [Rodinia] broke and drifted apart some 650 million years ago freeing North America from Europe and South America into which it had been locked during the earlier Grenville [Orogeny]. Some 450 million years later history repeated itself when this part of Canada was stretched once again during the late Jurassic when North America broke off from Europe as the Atlantic Ocean opened during the breaking of [Pangea]. Several prominent faults are exposed close to Ottawa.,n,,,,,,y,16,,6,http://planetrocks.ca/wp-content/uploads/E21.png
Fossils,151,e22,Ottawa River Stromatolites , Bacteria that Build and Breathe,45.412075,-75.763607,"At river level beside the Samuel de Champlain Park parking lot on the Quebec shore of the Ottawa River, early [Ordovician] [Dolostones] of the Ottawa[ Group ]display large numbers of well-exposed [Stromatolites] mounds. These were built by communities of blue-green algae called [Cyanobacteria] several hundred million years ago. ",y,45.411907,-75.763808,222.84,0,6.22,y,17,,2,http://planetrocks.ca/wp-content/uploads/E22.png
Historic,152,e23,Parliament Hill,,45.425082,-75.699921,"When the English novelist Anthony Trollope visited Ottawa in the mid-nineteenth century, he observed that ""the glory of Ottawa will be - and indeed, already is - the set of public buildings which is now being erected on the rock."" Ottawa is indeed endowed with a uniquely impressive geological setting where the Parliament Buildings sit on a prominent bluff overlooking the Ottawa River.",y,45.423349,-75.698354,336.24,0,-10.15,n,17,,5,http://planetrocks.ca/wp-content/uploads/E23.png
Earth History,153,e24,Nepean Point and Samuel de Champlain,,45.4295,-75.70116667,"French navigator and explorer Samuel de Champlain (1567-1635) founded the city of Quebec in 1608, later exploring the Ottawa River and much of what is now central Ontario. The statue on Nepean Point commemorates the 300th anniversary of his second ascent up the Ottawa River in 1615. On the same journey, Champlain reached the present-day French River (Site [N20]) and Lake Nipissing (Site [N68]), eventually arriving at Lake Huron which he called Lac Attigouautau or La Mer Douce, the Freshwater Sea. Champlain spent the winter with the Huron peoples and recorded his experiences in detailed journals. The statue on Nepean Point depicts him holding a navigational instrument called an 'astrolabe.' Unfortunately, due to an error by the sculptor, the astrolabe is upside down! The prominent cliff below Champlain's statue is composed of [Limestone] of the [Ordovician] Ottawa[ Group ]that also occur right below the Parliament Buildings nearby ([E23]).  Another famous statue of Samuel can be found in Orillia (Site [C74]).",y,,,342.91,0,-20.61,n,17,,6,http://planetrocks.ca/wp-content/uploads/E24.png
Historic,154,e25,Rideau Canal, The World's Longest Skating Rink,45.42616667,-75.69783333,"The Rideau Canal was completed in 1832. It is the longest continuously operated, completed canal system in the world. The Canal bypassed the St. Lawrence River rapids and potential menace of American forces along the border thereby providing safe passage for men and supplies from Ottawa to Kingston. The small community built at the canal's northern terminus on the Ottawa River became the nation's capital in 1858 and the canal itself a favoured route for settlers moving to western Canada.",y,,,88.39,0,0.08,n,17,,5,http://planetrocks.ca/wp-content/uploads/E25.png
Historic,155,e26,Geological Survey Of Canada,,45.40166667,-75.70583333,When in Ottawa be sure to visit the Geological Survey of Canada Headquarters at 601 Booth Street. There is an excellent museum and bookstore on the ground floor. The original office of the Geological Survey of Canada can be found on Sussex Street.,y,,,66.44,0,-20.85,n,16,,5,http://planetrocks.ca/wp-content/uploads/E26.png
Earth History,156,e27,Hog's Back Falls,Faults,45.367,-75.69966667,"The Rock visible under the Parliament Buildings from the Ottawa River is Ottawa[ Formation ][Limestone]. From the river itself (if you have a boat), the cliff beneath the Supreme Court to the west of the Parliament Buildings, shows evidence of [Normal fault]ing. Here, the rock layers lose their parallel bedding and curve upward along the fault. The Ottawa area is cut by many similar faults created during periods of extension, as the continent was stretched to the breaking point by plate tectonic processes",n,,,,,,n,16,,6,http://planetrocks.ca/wp-content/uploads/E27.png
Earth History,157,e28,Riverside Drive,Faults,45.349853,-75.692273,"The Ottawa [Graben] is a huge piece of downdropped[ Crust ]forming what geologists call a failed rift. The Earth's[ Crust ]broke when [Rodinia] drifted apart some 650 million years ago, freeing North America from Europe and South America. Some 180 million years ago this part of Canada was stretched once again when the Atlantic Ocean opened during the break up of [Pangea]. This created several prominent faults in the Ottawa.",y,,,67.67,0,-3.93,n,15,,6,http://planetrocks.ca/wp-content/uploads/E28.png
Earth History,158,e29,The Mystery of the Great Shelf Seas at Ottawa,,45.511,-75.463,"Much of southern Ontario is '[Limestone] country' with splendid [Outcrops] of richly fossiliferous rocks ([C44], [C45], [C46], [W22]), extensive [Limestone] plains ([C51]) and steep [Escarpments] ([S28]). [ Karst ]landforms and caves are abundant ([W3], [W4], [W5], [W6], [W28]).  But step back and take a broader view and try to imagine warm shallow seas that swept across the interior of North America for 200 million years from the Cambrian until the [Devonian]. These were truly enormous extending across the entire Canadian [Shield] from Newfoundland in the east, Greenland in the northeast to what is now Alberta. The seas were unlike any seen since on planet Earth.",n,,,,,,n,16,,6,http://planetrocks.ca/wp-content/uploads/E29.png
Earth History,159,e30,Lemieux Quickclay , Land that Remembers the Sea,45.39533333,-75.05883333,"A [Quickclay] is a type of glacial[ Sediment ]that accumulated in the Champlain Sea some 11,000 years ago and poses major challenges to engineers today. This region contains several ghost towns abandoned because of the threat of landslides in soft clays known as the ""Leda clays"". These clays are non-cohesive and flow like a river, causing mass devastation once they begin to move.",n,,,,,,n,15,,6,http://planetrocks.ca/wp-content/uploads/E30.png
Rocks and Minerals,160,e31,Eozoon Canadense, The Fossil that Wasn't,0,0,"In 1858, Sir John Dawson identified what he considered to be the oldest fossil then known (which he named Eozoon Canadense; 'the dawn animal of Canada') in rocks found at Côte St. Pierre near Grenville (Site [E32]) and now known to be about 1 billion years old. This created intense international interest (such as from Charles Darwin) and firmly placed Canadian geology on the world map. Alas, the 'fossil' turned out to be a mineral.",n,,,,,,n,16,,4,http://planetrocks.ca/wp-content/uploads/E31.png
Historic,161,e32,"Grenville, Quebec", Birthplace of Plate Tectonics,45.622303,-74.59485,"Many big ideas have humble beginnings. The first geologist to tackle the complexity of [Precambrian] [Shield] rocks was William Logan, the first Director of the Geological Survey of Canada. The Survey was set up in 1844 in Montreal to provide a systematic overview of Canada's[ Mineral ]deposits. Using limited resources (his eyes), Logan began looking at the [Shield] rocks exposed halfway between Montreal and Ottawa, on the north shore of the Ottawa Valley, where the high ground of the [Shield] (named the Laurentides) overlooks the [Limestone] plains to the south. At the time, it was believed that the [Shield] was composed of ""fundamental [Gneisses]"" formed when the Earth's original molten[ Crust ]had cooled. Logan, though, recognized that the [Gneiss] showed evidence of having formerly been [Sedimentary rocks] that had been changed by [Metamorphism]. This key observation violated the long-held belief that the [Shield] was simply cooled crust. Logan also established that there were large bodies of igneous intrusive rock in the [Shield]. By 1863, the term ""Grenville Series"" was in use to refer to the varied metamorphic and [Igneous rocks] of the [Shield], named after [Outcrops] along the Rouge River and the small community of Grenville in Argenteuil County, Quebec.",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/E32.png
Rocks and Minerals,162,e33,Oka, Carbonatite and Cheese,45.50016667,-74.035,"Take the ferry across the Ottawa River at Oka, enjoy some local cheese made at La Trappe Cistercian Abbey (Oka Abbey) since 1893 and see some really weird volcanic rocks. Oka is world famous in geology circles because under its green and pleasant fields is a '[Carbonatite] complex'. This is a 120 million year old [Igneous Intrusion] where the rocks are dominated by calcium carbonate, a situation that is extremely rare on Earth.",y,,,49.3,0,-13.92,n,16,,4,http://planetrocks.ca/wp-content/uploads/E33.png
Rocks and Minerals,163,e34,Ste. Dorothee Sills,,45.53166667,-73.81233333,"About 500 metres east of the church in this quiet community mid-way between Oka and Mont Royal, Route 148 passes through sporadic [Outcrops] of another type of [Igneous Intrusion] related to the Monteregian Hills. Here you'll find horizontal bodies called ""sills"" (think window sill) intruded into younger [Paleozoic] [Limestones].",n,,,,,,n,16,,4,http://planetrocks.ca/wp-content/uploads/E34.png
Historic,164,e35,Lachine Canal, How the West was Built,45.49616667,-73.55233333,"The Lachine rapids were a major obstacle to explorers and voyageurs pushing westward up the St. Lawrence River to the Great Lakes. As early as 1689, a canal had been suggested to avoid these dangerous waters. Completed in 1825, the Lachine Canal became the entry point to the interior of North America rivalled only by the Erie Canal which freed the movement of immigrants to the west in the USA.",y,,,50.89,1,-2.6,n,16,,5,http://planetrocks.ca/wp-content/uploads/E35.png
Earth History,165,e36,Mount Royal Park,,45.51033333,-73.5955,"The hill of Mont Royal provides a superb view over the city of Montreal. The bumps on the horizon are ancient volcanoes formed about 120 million years ago, now called the Monteregian Hills. Mount Royal is a fine example of a volcanic 'stock' about 2 kilometres wide. Its rocks were intruded into soft [Sedimentary rocks] and have since been eroded away to leave a prominent hill overlooking downtown Montreal. ",n,,,,,,n,14,,6,http://planetrocks.ca/wp-content/uploads/E36.png
Earth History,166,e37,Volcanic Explosion at Expo 67 , Ile Ste. Helene,45.52,-73.53516667,Look at that [Diamond] on your finger. It has a long geologic history before it was cut. It was brought to the Earth's surface in a [Kimberlite] pipe intruded as a carrot-shaped body of [Igneous rock] from the[ Mantle ]below. Pipes are examples of what is called a diatreme where high-[Pressure] volcanic gases and broken ([Breccia]ted) rock are violently expelled to the Earth's surface. The island site of Expo '67 in the St. Lawrence River provides a rare [Outcrop] through an ancient 120 million year old pipe.,n,,,,,,n,15,,6,http://planetrocks.ca/wp-content/uploads/E37.png
Earth History,167,e38,Sugar Loaf Mountain, Mont-Sainte Hilaire,45.55033333,-73.1725,"This large hill 35 kilometres east of Montreal is the jewel of the Monteregian Hills. It is a circular-shaped volcanic [Intrusion] called a pluton. Younger rocks have been stripped off by [Erosion] and the harder rocks of the[Pluton]now stand about 350 metres above the surrounding flat farmland. The hike to its summit affords tremendous views eastward into the Appalachian Mountains and west to Montreal where you can see the other prominent Monteregian Hill, Mont Royal (Site [E36]).",n,,,,,,n,12,,6,http://planetrocks.ca/wp-content/uploads/E38.png
Earth History,168,e39,When Whales Swam in Ontario, The Champlain Sea.,45.460131,-72.862921,"At the end of the last [Ice age], waters of the North Atlantic briefly invaded eastern Ontario and the St. Lawrence Lowlands at a time when the Earth's[ Crust ]in this area was depressed by the weight of the thinning [Ice sheet]. Although short lived, the Champlain Sea left rich soils but unfortunately these same sediments major problems for engineers.",n,,,,,,n,12,,6,http://planetrocks.ca/wp-content/uploads/E39.png
Earth History,169,e40,500 million year old Sand Dunes,,44.40738333,-76.32066667,"Ontario has many examples of modern coastal[ Sand ]dunes (Sites [C30], [W1], [W9]) but also has ancient dunes preserved in the 500 million year old Nepean [Sandstone] just north of Kingston. These rocks are the oldest of the [Paleozoic] [Sedimentary rocks] that cover the Canadian [Shield] on top of the 'Great [Unconformity]' seen nearby (e.g., Sites [C57], [E13], [E14]).  The Nepean is distinctive because it shows 'large-scale cross bedding'.  Inclined, gently dipping beds of usually-red (iron) stained [Sandstone] record the wind-driven migration of large[ Sand ]dunes in an ancient desert. See also Site [E45]. Note the prominent[ Bed ]of rounded pebbles ('[Conglomerate]') of [Quartzite] that occur toward the base of the sands. This may indicate that dunes migrated across and buried an old river channel.",y,,,261.53,0,-5.35,n,16,,6,http://planetrocks.ca/wp-content/uploads/E40.png
Rocks and Minerals,170,e41,Gull River Limestones and Barriefield,Rocks that built the 'Limestone City',44.238666,-76.461852,"This prominent road cut on Highway 2 near the mouth of the Rideau Canal and Fort Henry exposes [Ordovician]-aged [Limestones] about 450 million years old that have been widely used for building in the Kingston area, the so-called '[Limestone] City.' This [Outcrop] also exposes billion-year old [Quartzites] (ancient [Sandstones]) of the Canadian [Shield] below. Note the [Limestone] is not flat but shows a broad convexity (called an [Anticline]; like an inverted 'U') similar to those seen in the same [Limestones] on Manitoulin Island (Site [N37]). These likely formed as a 'drape fold' where [Limestones] were deposited across the 'up-and-down' surface of the [Shield]. The contact between the [Quartzite] and [Limestone] represents a major gap in recorded time (of about 500 million years) and is a fine example of an '[Unconformity]' (See Sites [C57], [E13], [E14], [E43]).",y,,,149.75,0,-6.22,n,16,,4,http://planetrocks.ca/wp-content/uploads/E41.png
Earth History,171,e42,Highway 401 Unconformity at Kingston,,44.28808333,-76.43018333,"This is another great example of the 'Great [Unconformity]' that separates the old hard rock of the Canadian [Shield] and the overlying younger [Paleozoic] [Sedimentary rocks] (See Sites [C38], [C57], [E13], [E14]). Think of a book with missing chapter; that's an [Unconformity] and results from widespread and deep [Erosion] of the Grenville Mountains that existed in Ontario about 1 billion years ago. Here on the road cut near the westbound onramp of Highway #15 to Highway 401, white-coloured Gull River [Limestones] rest unconformably on pinkish-grey coloured syenite (a [Granite]-like rock missing much quartz); a boulder [Conglomerate] similar to that seen at Abbey Dawn (Site [E14]) rests directly on the [Shield] and may record an ancient beach as warm shallow seas swept across the eroded [Shield] surface some 500 million years ago (See Site [C22]).",y,,,110.9,1,10.38,n,16,,6,http://planetrocks.ca/wp-content/uploads/E42.png
Earth History,172,e43,Marble Cave at Portland,,44.46406667,-76.69021667,"Caves are part of a suite of landforms referred to as 'karst' resulting from the chemical [Dissolution] of carbonate rocks such as the [Limestones] that are widespread in southern Ontario (See [S47], [C24], [W14], [E41]). The famous '[Marble] cave' exposed on the east side of Highway #38 near Portland Conservation Area is very different.  It is not a modern feature but is a fossil cave ('paleokarst') formed by the [Dissolution] of billion year old [Marble] a common rock across the Canadian [Shield] of eastern Ontario (e.g., Sites [E2], [E4], [E16]). The cave formed at least 500 million years ago and was then filled in by sands of the Nepean[ Formation ]blown into the cave by strong winds (See Site [E40]). Look for the rounded pebbles and cobbles ('[Conglomerate]') made of [Shield] rocks that line the floor and sides of the ancient cave.",y,,,14.2,1,2.24,n,15,,6,http://planetrocks.ca/wp-content/uploads/E43.png
Rocks and Minerals,173,e44,Tectonic Marble,,44.4093,-76.3091,"[Marble] is metamorphosed [Limestone] and is common throughout the [Shield] rocks of eastern Ontario. It formed when [Limestones] were shoved down to great depths perhaps as much as 15 kilometres when North America and the oldest part of South America collided one billion years ago during the Grenville [Orogeny]. [Marble] being made of the relatively soft[ Mineral ]calcite, deformed much like hot toffee and became mixed with other [Shield] rocks such as [Gneiss] to create what is known as 'tectonic [Marble]' in contrast to other [Marble] beds that are relatively undeformed (Site [E4]). In effect, 'tectonic [Marble]' is a '[Breccia]' since it contains angular blocks of [Gneiss] much like dark coloured raisins in a cake mix. ",y,,,81.09,0,1.73,n,16,,4,http://planetrocks.ca/wp-content/uploads/E44.png
Earth History,174,e45,Nepean Formation at Maple Hill,,44.39441667,-76.34658333,"The [Outcrop] at Maple Hill near Kingston is of special significance as it shows boulders of white-coloured [Shield] [Quartzite] rocks (note their very angular shape which indicates a very local origin) within the 500 million year old Nepean [Sandstone]. This suggests that large wind-blown dunes formed at the base of unstable cliffs (See also Site [E40]). A few hundred metres to the east of the [Outcrop] is a tall knob of [Quartzite], the likely source. Picture an ancient landscape of tall cliffs overlooking active[ Sand ]dunes just before the area was flooded by the waters of the Iapetus Ocean and [Limestones] began to form (Site [C25], [C31]). The same location shows excellent sets of glacial [Striations] cut on the [Sandstone] only 12,000 years ago by the last [Ice sheet]. ",y,,,78.23,0,15.4,n,16,,6,http://planetrocks.ca/wp-content/uploads/E45.png
Earth History,175,e46,Kingston Mills Glacial Grooves,,44.293144,-76.441463,"Kingston Mills Lock on the Rideau Canal near Kingston shows spectacular evidence of the power of the 2 kilometres thick [Ice sheet] that covered the area until some 12,000 years ago.[ Sand ]and[ Debris ]carried in the base of the flowing ice acted as sandpaper scoring deep grooves in the underlying [Granite] of the Canadian [Shield] (See also Sites [N44], [W35]). These grooves are related to the many scratches cut on [Bedrock] (Glacial [Striations]: Site [S42], [E40]) by the same [Ice sheet].",y,,,316.25,0,4.72,n,16,,6,http://planetrocks.ca/wp-content/uploads/E46.png
